district_id,Demand_Signal,Mean_Distribution_Gap,Valid_Audit_Cycles,Competitive_Intensity,Mean_Panel_Coverage_Pct_x,Coverage_Status_x,Total_Population,Estimated_Total_Retail_Universe,District_Code_x,Mean_Panel_Coverage_Pct_y,Coverage_Status_y,District_Code_y,Mean_Panel_Coverage_Pct,Coverage_Status,Market_Opportunity
DST_0241,0.9686274509803923,0.6674860923701722,24,0.8468289332801751,68.01291666666667,RELIABLE,1951014,3199,DST_0241,68.01291666666667,RELIABLE,DST_0241,68.01291666666667,RELIABLE,HIGH_OPPORTUNITY
DST_0272,0.9583333333333333,0.6677405949217836,24,0.891312479840682,65.16625,RELIABLE,2218000,3948,DST_0272,65.16625,RELIABLE,DST_0272,65.16625,RELIABLE,HIGH_OPPORTUNITY
DST_0273,0.9549019607843138,0.6561216686728497,24,0.884282930357628,73.24041666666666,RELIABLE,2091000,3575,DST_0273,73.24041666666666,RELIABLE,DST_0273,73.24041666666666,RELIABLE,HIGH_OPPORTUNITY
DST_0213,0.9524509803921569,0.6580435345118696,24,0.8741368762110024,68.73666666666666,RELIABLE,1005711,1241,DST_0213,68.73666666666666,RELIABLE,DST_0213,68.73666666666666,RELIABLE,HIGH_OPPORTUNITY
DST_0192,0.9446078431372549,0.9246012898315672,24,0.6056202961642607,60.54291666666666,RELIABLE,2882031,5533,DST_0192,60.54291666666666,RELIABLE,DST_0192,60.54291666666666,RELIABLE,HIGH_OPPORTUNITY
DST_0040,0.9352941176470588,0.9316018119557624,24,0.6230079681545139,66.22875,RELIABLE,1847023,2951,DST_0040,66.22875,RELIABLE,DST_0040,66.22875,RELIABLE,HIGH_OPPORTUNITY
DST_0243,0.9333333333333333,0.6567107760844606,24,0.8747856401711457,70.20833333333333,RELIABLE,2583052,3512,DST_0243,70.20833333333333,RELIABLE,DST_0243,70.20833333333333,RELIABLE,HIGH_OPPORTUNITY
DST_0330,0.9303921568627451,0.662416708031781,24,0.8877260617518017,76.81916666666667,RELIABLE,3121200,5424,DST_0330,76.81916666666667,RELIABLE,DST_0330,76.81916666666667,RELIABLE,HIGH_OPPORTUNITY
DST_0297,0.9299019607843138,0.6681036413719633,24,0.8598116977312089,68.48875,RELIABLE,3276697,6016,DST_0297,68.48875,RELIABLE,DST_0297,68.48875,RELIABLE,HIGH_OPPORTUNITY
DST_0038,0.928921568627451,0.6837774362705891,24,0.8545821808697673,72.08708333333333,RELIABLE,3001127,4123,DST_0038,72.08708333333333,RELIABLE,DST_0038,72.08708333333333,RELIABLE,HIGH_OPPORTUNITY
