district_id,District_Name,State_Union_Territory,Demand_Signal,Mean_Distribution_Gap,Competitive_Intensity,Mean_Panel_Coverage_Pct,Coverage_Status,WCI,WCI_Priority,Recommended_Target
DST_0040,Dharwad,Karnataka,0.9352941176470588,0.9316018119557624,0.3538417164739132,66.22875,RELIABLE,0.8761746438309107,VERY_HIGH,RECOMMENDED
DST_0192,Paschim Bardhaman,West Bengal,0.9446078431372549,0.9246012898315672,0.3771504271953997,60.54291666666666,RELIABLE,0.8732538954137332,VERY_HIGH,RECOMMENDED
DST_0211,Warangal,Telangana,0.919607843137255,0.92840945492283,0.33469995934766483,60.32666666666666,RELIABLE,0.8718268467652223,VERY_HIGH,RECOMMENDED
DST_0301,Ujjain,Madhya Pradesh,0.9083333333333332,0.9331183626593318,0.3540945601393777,73.36708333333333,RELIABLE,0.8645225149028906,VERY_HIGH,RECOMMENDED
DST_0271,Vizag,Andhra Pradesh,0.9142156862745098,0.930130816549594,0.37337336966308365,70.21541666666667,RELIABLE,0.8622681706832704,VERY_HIGH,RECOMMENDED
DST_0069,Salem,Tamil Nadu,0.8887254901960784,0.9222669176529403,0.379218004634219,62.02708333333334,RELIABLE,0.8468762908399206,HIGH,RECOMMENDED
DST_0244,Udaipur,Rajasthan,0.8612745098039215,0.9279735350898389,0.3582557924612966,73.79916666666666,RELIABLE,0.840713108200949,HIGH,RECOMMENDED
DST_0329,Kozhikode,Kerala,0.865686274509804,0.928676161200475,0.38318001228599724,71.46458333333334,RELIABLE,0.8379594774923785,HIGH,RECOMMENDED
DST_0246,Alwar,Rajasthan,0.8529411764705883,0.9290787536675932,0.36221748596964803,69.42958333333333,RELIABLE,0.8365575960014926,HIGH,RECOMMENDED
DST_0154,Rajkot,Gujarat,0.8666666666666667,0.9268485604152441,0.39013689516651573,65.09083333333334,RELIABLE,0.8363696171120323,HIGH,RECOMMENDED
DST_0153,Vadodara,Gujarat,0.7828431372549018,0.9305140013474963,0.3863688685624681,65.11916666666667,RELIABLE,0.800685538523836,HIGH,RECOMMENDED
DST_0039,Belagavi,Karnataka,0.7343137254901961,0.9306873269103043,0.37894285343982115,72.03666666666668,RELIABLE,0.7803931702012306,HIGH,RECOMMENDED
DST_0241,Kota,Rajasthan,0.9686274509803923,0.6674860923701722,0.4673483517881132,68.01291666666667,RELIABLE,0.7760328149131142,HIGH,RECOMMENDED
DST_0213,Karimnagar,Telangana,0.9524509803921569,0.6580435345118696,0.4340693306082664,68.73666666666666,RELIABLE,0.7721043121339717,HIGH,RECOMMENDED
DST_0272,Vijayawada,Andhra Pradesh,0.9583333333333333,0.6677405949217836,0.4743036432824832,65.16625,RELIABLE,0.7700984795661276,HIGH,RECOMMENDED
DST_0273,Guntur,Andhra Pradesh,0.9549019607843138,0.6561216686728497,0.4771732607111037,73.24041666666666,RELIABLE,0.7639138142462178,HIGH,RECOMMENDED
DST_0038,Mysuru,Karnataka,0.928921568627451,0.6837774362705891,0.4861374395062832,72.08708333333333,RELIABLE,0.7601093206758025,HIGH,RECOMMENDED
DST_0299,Jabalpur,Madhya Pradesh,0.9220588235294118,0.6726655671944985,0.47475673115631095,60.99208333333333,RELIABLE,0.7554080728750476,HIGH,RECOMMENDED
DST_0243,Ajmer,Rajasthan,0.9333333333333333,0.6567107760844606,0.47389453645456914,70.20833333333333,RELIABLE,0.7550698643386474,HIGH,RECOMMENDED
DST_0297,Indore,Madhya Pradesh,0.9299019607843138,0.6681036413719633,0.5055777677033024,68.48875,RELIABLE,0.7511766032924678,HIGH,RECOMMENDED
DST_0330,Thrissur,Kerala,0.9303921568627451,0.662416708031781,0.49875534887067785,76.81916666666667,RELIABLE,0.7507712486252232,HIGH,RECOMMENDED
DST_0066,Coimbatore,Tamil Nadu,0.8941176470588235,0.671181879611095,0.5145353624900609,75.52333333333333,RELIABLE,0.7343595265423417,HIGH,RECOMMENDED
DST_0116,Meerut,Uttar Pradesh,0.8794117647058823,0.6603856859486427,0.5037010999914913,77.50333333333333,RELIABLE,0.7261300642013738,HIGH,RECOMMENDED
DST_0113,Varanasi,Uttar Pradesh,0.8588235294117648,0.6597263801488291,0.49933366110157085,70.00208333333333,RELIABLE,0.7175080890670702,HIGH,RECOMMENDED
DST_0009,Kolhapur,Maharashtra,0.8117647058823529,0.6726206181500823,0.4935327412432442,68.17625,RELIABLE,0.7020047857509388,HIGH,RECOMMENDED
