WCI_Rank,district_id,District_Name,State_Union_Territory,Demand_Signal,Mean_Distribution_Gap,Competitive_Intensity,Mean_Panel_Coverage_Pct,Coverage_Status,WCI,WCI_Priority
1,DST_0040,Dharwad,Karnataka,0.9352941176470588,0.9316018119557624,0.3538417164739132,66.22875,RELIABLE,0.8761746438309107,VERY_HIGH
2,DST_0192,Paschim Bardhaman,West Bengal,0.9446078431372549,0.9246012898315672,0.3771504271953997,60.54291666666666,RELIABLE,0.8732538954137332,VERY_HIGH
3,DST_0211,Warangal,Telangana,0.919607843137255,0.92840945492283,0.33469995934766483,60.32666666666666,RELIABLE,0.8718268467652223,VERY_HIGH
4,DST_0301,Ujjain,Madhya Pradesh,0.9083333333333332,0.9331183626593318,0.3540945601393777,73.36708333333333,RELIABLE,0.8645225149028906,VERY_HIGH
5,DST_0271,Vizag,Andhra Pradesh,0.9142156862745098,0.930130816549594,0.37337336966308365,70.21541666666667,RELIABLE,0.8622681706832704,VERY_HIGH
6,DST_0068,Tiruchirappalli,Tamil Nadu,0.8999999999999999,0.9239549030731222,0.37156632675498535,55.51,UNKNOWN,0.8540709507245956,VERY_HIGH
7,DST_0069,Salem,Tamil Nadu,0.8887254901960784,0.9222669176529403,0.379218004634219,62.02708333333334,RELIABLE,0.8468762908399206,HIGH
8,DST_0008,Aurangabad,Maharashtra,0.8735294117647059,0.9265534524573217,0.3659614514020981,57.3225,UNKNOWN,0.8441896533737605,HIGH
9,DST_0244,Udaipur,Rajasthan,0.8612745098039215,0.9279735350898389,0.3582557924612966,73.79916666666666,RELIABLE,0.840713108200949,HIGH
10,DST_0329,Kozhikode,Kerala,0.865686274509804,0.928676161200475,0.38318001228599724,71.46458333333334,RELIABLE,0.8379594774923785,HIGH
11,DST_0246,Alwar,Rajasthan,0.8529411764705883,0.9290787536675932,0.36221748596964803,69.42958333333333,RELIABLE,0.8365575960014926,HIGH
12,DST_0154,Rajkot,Gujarat,0.8666666666666667,0.9268485604152441,0.39013689516651573,65.09083333333334,RELIABLE,0.8363696171120323,HIGH
13,DST_0153,Vadodara,Gujarat,0.7828431372549018,0.9305140013474963,0.3863688685624681,65.11916666666667,RELIABLE,0.800685538523836,HIGH
14,DST_0039,Belagavi,Karnataka,0.7343137254901961,0.9306873269103043,0.37894285343982115,72.03666666666668,RELIABLE,0.7803931702012306,HIGH
15,DST_0241,Kota,Rajasthan,0.9686274509803923,0.6674860923701722,0.4673483517881132,68.01291666666667,RELIABLE,0.7760328149131142,HIGH
16,DST_0213,Karimnagar,Telangana,0.9524509803921569,0.6580435345118696,0.4340693306082664,68.73666666666666,RELIABLE,0.7721043121339717,HIGH
17,DST_0272,Vijayawada,Andhra Pradesh,0.9583333333333333,0.6677405949217836,0.4743036432824832,65.16625,RELIABLE,0.7700984795661276,HIGH
18,DST_0273,Guntur,Andhra Pradesh,0.9549019607843138,0.6561216686728497,0.4771732607111037,73.24041666666666,RELIABLE,0.7639138142462178,HIGH
19,DST_0038,Mysuru,Karnataka,0.928921568627451,0.6837774362705891,0.4861374395062832,72.08708333333333,RELIABLE,0.7601093206758025,HIGH
20,DST_0299,Jabalpur,Madhya Pradesh,0.9220588235294118,0.6726655671944985,0.47475673115631095,60.99208333333333,RELIABLE,0.7554080728750476,HIGH
21,DST_0243,Ajmer,Rajasthan,0.9333333333333333,0.6567107760844606,0.47389453645456914,70.20833333333333,RELIABLE,0.7550698643386474,HIGH
22,DST_0297,Indore,Madhya Pradesh,0.9299019607843138,0.6681036413719633,0.5055777677033024,68.48875,RELIABLE,0.7511766032924678,HIGH
23,DST_0330,Thrissur,Kerala,0.9303921568627451,0.662416708031781,0.49875534887067785,76.81916666666667,RELIABLE,0.7507712486252232,HIGH
