district_id_normalized,Competitor_Volume,Mean_Numeric_Distribution,Mean_Weighted_Distribution,Mean_Promotional_Intensity,Total_Exclusive_Chillers,Competitor_Volume_Score,Mean_Numeric_Distribution_Score,Mean_Weighted_Distribution_Score,Mean_Promotional_Intensity_Score,Total_Exclusive_Chillers_Score,Competitive_Intensity
DST_0001,1757217,79.15666666666667,82.86508333333333,7.1955,707449,1.0,0.9951405073236285,0.9861811253638586,0.9709144533517405,0.9920906919031299,0.9888653555884716
DST_0002,643168,78.97783333333334,82.87124999999999,7.2781666666666665,249162,0.36448711688359103,0.9923020556950238,0.9862767756045352,0.9864769464882417,0.34917953904922766,0.7357444867441238
DST_0003,1461413,78.08966666666667,82.98775,7.232,579980,0.8312576440736752,0.978205029852681,0.9880837896108329,0.9777857960874135,0.8132699054895199,0.9177204330228245
DST_0004,724461,39.839000000000006,46.31825,4.016666666666667,87479,0.4108609736952593,0.3710885316501907,0.4193086814226551,0.3724801154636587,0.1223614012297445,0.33921994069230166
DST_0005,214163,40.562416666666664,46.99166666666667,3.9391666666666665,26107,0.11975981635968676,0.3825706372363586,0.4297539462187133,0.3578902781481888,0.03626525782408453,0.2652479871574064
DST_0006,395019,40.381499999999996,48.296166666666664,4.089333333333333,49619,0.22292971103119694,0.3796991188366845,0.44998784983429235,0.386160048946551,0.06924923298790317,0.3016051923273256
DST_0007,506826,49.33458333333333,57.846000000000004,4.720583333333334,85568,0.28671037859841914,0.5218029061723756,0.5981138806595214,0.5049966270806207,0.11968054139059608,0.4062608667803066
DST_0008,309578,49.234500000000004,56.412,4.60825,54205,0.17418961409977912,0.5202143784901978,0.5758713219897317,0.4838492069717459,0.07568273545903587,0.3659614514020981
DST_0009,333569,57.47741666666666,65.47941666666667,5.9165,130057,0.18787535824464688,0.6510463649037228,0.71651466033824,0.7301350736551464,0.18209224907446506,0.4935327412432442
DST_0010,252384,39.04516666666667,47.34525,3.9650833333333333,31882,0.1415631103849875,0.35848876920187395,0.4352383242077833,0.3627692452504589,0.04436675733799456,0.26848524127661966
DST_0011,240668,40.8895,48.07991666666667,3.9739166666666668,32165,0.13487967999853964,0.38776212029426776,0.4466336285565086,0.3644321729444802,0.044763765885602616,0.2756942735358797
DST_0012,151100,39.35191666666666,47.34016666666666,4.102833333333334,18570,0.08378532246581843,0.3633575205741449,0.43515947738776595,0.38870150447892327,0.025691924172770265,0.2593391498158846
DST_0013,153714,39.48983333333333,47.38316666666666,4.074583333333333,19664,0.08527648728573775,0.36554654081894483,0.43582644393086284,0.38338327345747764,0.02722664979497244,0.2594518790575991
DST_0014,245878,38.830333333333336,48.495250000000006,3.9571666666666667,29934,0.1378517414797101,0.3550789237691887,0.4530758015231655,0.36127888552468507,0.04163399178767478,0.2697838688168848
DST_0015,174242,38.56916666666667,46.78841666666666,4.010666666666667,22823,0.09698675179350505,0.35093367334791803,0.42660136598884246,0.37135057967149343,0.03165827524336063,0.25550612920902394
DST_0016,185523,39.063,48.087583333333335,3.8118333333333334,24355,0.10342203501213924,0.3587718207622288,0.4467525450719445,0.3339190185589006,0.03380745225726715,0.25533457433249607
DST_0017,162344,38.991166666666665,46.971333333333334,3.9361666666666664,20487,0.09019949891385699,0.3576316784957529,0.42943855893864424,0.35732551025210607,0.02838120115427079,0.2525952895509262
DST_0018,76091,38.39175,48.76033333333333,3.910166666666667,9416,0.04099619393585367,0.34811770712364065,0.45718746930144294,0.3524308551527227,0.012850170657561189,0.2423164792342442
DST_0019,38693,38.726416666666665,45.74183333333334,3.815833333333333,4825,0.019662382942991184,0.3534295532282427,0.4103679690610249,0.33467204242034415,0.0064096539011350515,0.22490832031074764
DST_0020,135801,39.822,49.427,4.090333333333333,17279,0.07505795805114912,0.3708187067982637,0.46752803586108477,0.3863483049119118,0.023880835710007,0.2647267682664833
DST_0021,145803,39.5805,48.08858333333333,4.157166666666667,17111,0.08076363155108524,0.3669856066958889,0.4467680559217839,0.3989300785968656,0.0236451557241478,0.2634185056979543
DST_0022,57753,17.029916666666665,21.171583333333334,2.0885000000000002,256,0.030535222066044795,0.009061617943881701,0.029262510792966358,0.009491238253612224,0.0,0.015670117811301017
DST_0023,137129,40.49616666666667,49.21816666666667,3.833666666666667,17791,0.07581551997955495,0.381519113916349,0.464288853386277,0.33802927380261366,0.024599098524054088,0.25685037192176974
DST_0024,116904,39.880833333333335,47.979166666666664,3.9959166666666666,14752,0.06427810280936821,0.3717525124132659,0.44507091043518265,0.36857380418242003,0.020335815922708188,0.254002229152589
DST_0025,105210,42.01141666666667,47.627250000000004,4.018416666666666,13386,0.05760722239462587,0.405569237850607,0.43961238386251184,0.3728095634030402,0.018419513180543495,0.2588035841382657
DST_0026,79429,40.36691666666666,47.56016666666667,3.9025833333333333,10099,0.042900366915536406,0.3794676514391981,0.4385718643524479,0.35100324741540245,0.013808322028643535,0.2451502904302457
DST_0027,61910,40.378,47.73524999999999,4.10775,7806,0.03290659626512842,0.3796435666612878,0.4412875556451737,0.3896270963086143,0.01059157079307718,0.25081127713465634
DST_0028,67898,41.27775,47.66133333333333,4.084083333333333,8397,0.03632247038206678,0.39392444375077706,0.44014104532787346,0.3851717051284062,0.011420659314760441,0.2533960647807768
DST_0029,60912,40.3565,47.669,3.8896666666666664,7595,0.032337283912305365,0.3793023175838507,0.44025996184330934,0.3485716078628241,0.010295567953694493,0.2421533478311968
DST_0030,56483,39.62858333333334,46.998083333333334,4.1939166666666665,6973,0.029810746426680784,0.3677487877721727,0.4298534741718499,0.4058484853238787,0.009422990863191977,0.2485368969115548
