District_Code,District_Name,Mean_Panel_Coverage_Pct,Coverage_Status
DST_0247,Sikar,10.704166666666666,UNKNOWN
DST_0071,Tiruppur,11.182916666666666,UNKNOWN
DST_0159,Anand,11.340416666666668,UNKNOWN
DST_0209,Rangareddy,12.164583333333333,UNKNOWN
DST_0076,Kancheepuram,12.455833333333333,UNKNOWN
DST_0270,Pratapgarh,13.633333333333333,UNKNOWN
DST_0118,Gautam Buddha Nagar,13.879583333333334,UNKNOWN
DST_0158,Gandhinagar,14.074583333333335,UNKNOWN
DST_0177,Tapi,15.101666666666667,UNKNOWN
DST_0041,Dakshina Kannada,15.219583333333333,UNKNOWN
DST_0028,Gondia,15.417499999999999,UNKNOWN
DST_0236,Mahabubabad,15.589583333333332,UNKNOWN
DST_0005,Palghar,15.612499999999999,UNKNOWN
DST_0027,Bhandara,15.742916666666666,UNKNOWN
DST_0219,Siddipet,15.862499999999999,UNKNOWN
DST_0057,Koppal,16.08375,UNKNOWN
DST_0229,Jogulamba Gadwal,16.204583333333336,UNKNOWN
DST_0170,Aravalli,16.268333333333334,UNKNOWN
DST_0077,Chengalpattu,16.336666666666666,UNKNOWN
DST_0303,Dewas,16.449166666666667,UNKNOWN
DST_0187,Howrah,16.594583333333333,UNKNOWN
DST_0232,Jayashankar Bhupalpally,16.665416666666665,UNKNOWN
DST_0328,Ernakulam,16.712083333333332,UNKNOWN
DST_0176,Narmada,16.919583333333332,UNKNOWN
DST_0206,Jhargram,16.932916666666667,UNKNOWN
DST_0235,Yadadri Bhuvanagiri,17.15625,UNKNOWN
DST_0274,Tirupathi,17.174583333333334,UNKNOWN
DST_0210,Sangareddy,17.420416666666668,UNKNOWN
DST_0307,Singrauli,17.550833333333333,UNKNOWN
DST_0238,Narayanpet,17.917083333333334,UNKNOWN
DST_0085,Perambalur,19.179166666666667,UNKNOWN
DST_0339,Idukki,19.36916666666667,UNKNOWN
DST_0227,Nagarkurnool,21.364583333333332,UNKNOWN
DST_0172,Mahisagar,21.628333333333334,UNKNOWN
DST_0233,Jangaon,22.207916666666666,UNKNOWN
DST_0030,Hingoli,22.2625,UNKNOWN
DST_0226,Vikarabad,22.57166666666667,UNKNOWN
DST_0234,Mulugu,23.12875,UNKNOWN
DST_0055,Kodagu,23.668333333333333,UNKNOWN
DST_0266,Karauli,23.878333333333334,UNKNOWN
DST_0295,Parvathipuram Manyam,24.211250000000003,UNKNOWN
DST_0218,Suryapet,24.328333333333333,UNKNOWN
DST_0338,Pathanamthitta,25.370416666666667,UNKNOWN
DST_0031,Gadchiroli,25.375,UNKNOWN
DST_0019,Sindhudurg,25.39833333333333,UNKNOWN
DST_0175,Chhota Udaipur,25.50708333333333,UNKNOWN
DST_0324,Seoni,26.102500000000003,UNKNOWN
DST_0237,Kumuram Bheem Asifabad,26.194999999999997,UNKNOWN
DST_0029,Washim,26.614166666666666,UNKNOWN
DST_0228,Wanaparthy,26.805000000000003,UNKNOWN
DST_0230,Medak,26.879166666666666,UNKNOWN
